date,store_number,store_name,city,county,sales
2022-01-09,4129,Cyclone Liquors,Ames,STORY,3570.58
2022-01-16,4129,Cyclone Liquors,Ames,STORY,13461.98
2022-01-23,4129,Cyclone Liquors,Ames,STORY,12398.75
2022-01-30,4129,Cyclone Liquors,Ames,STORY,15761.38
2022-02-06,4129,Cyclone Liquors,Ames,STORY,14926.81
2022-01-09,2501,Hy-Vee  #2 / Ames,Ames,STORY,28513.32
2022-01-16,2501,Hy-Vee  #2 / Ames,Ames,STORY,29786.16
2022-01-23,2501,Hy-Vee  #2 / Ames,Ames,STORY,22906.34
2022-01-30,2501,Hy-Vee  #2 / Ames,Ames,STORY,57705.66
2022-02-06,2501,Hy-Vee  #2 / Ames,Ames,STORY,72490.47
2022-01-09,3524,Sam's Club 6568 / Ames,Ames,STORY,50279.7
2022-01-16,3524,Sam's Club 6568 / Ames,Ames,STORY,5159.4
2022-01-23,3524,Sam's Club 6568 / Ames,Ames,STORY,17741.64
2022-01-30,3524,Sam's Club 6568 / Ames,Ames,STORY,47160.0
2022-02-06,3524,Sam's Club 6568 / Ames,Ames,STORY,17194.62
2022-01-09,2500,Hy-Vee Food Store #1 / Ames,Ames,STORY,22677.36
2022-01-16,2500,Hy-Vee Food Store #1 / Ames,Ames,STORY,21591.03
2022-01-23,2500,Hy-Vee Food Store #1 / Ames,Ames,STORY,29405.32
2022-01-30,2500,Hy-Vee Food Store #1 / Ames,Ames,STORY,19081.33
2022-02-06,2500,Hy-Vee Food Store #1 / Ames,Ames,STORY,24158.14
2022-01-09,2505,Hy-Vee Wine and Spirits / Boone,Boone,BOONE,9336.34
2022-01-16,2505,Hy-Vee Wine and Spirits / Boone,Boone,BOONE,14337.96
2022-01-23,2505,Hy-Vee Wine and Spirits / Boone,Boone,BOONE,10573.86
2022-01-30,2505,Hy-Vee Wine and Spirits / Boone,Boone,BOONE,14857.29
2022-02-06,2505,Hy-Vee Wine and Spirits / Boone,Boone,BOONE,18846.34
2022-01-09,2642,Hy-Vee Wine and Spirits / Pella,Pella,MARION,21510.68
2022-01-16,2642,Hy-Vee Wine and Spirits / Pella,Pella,MARION,16122.86
2022-01-23,2642,Hy-Vee Wine and Spirits / Pella,Pella,MARION,20085.22
2022-01-30,2642,Hy-Vee Wine and Spirits / Pella,Pella,MARION,16266.84
2022-02-06,2642,Hy-Vee Wine and Spirits / Pella,Pella,MARION,15757.14
2022-01-09,5144,Sam's Club 6979 / Ankeny,Ankeny,POLK,88947.6
2022-01-16,5144,Sam's Club 6979 / Ankeny,Ankeny,POLK,8458.03
2022-01-23,5144,Sam's Club 6979 / Ankeny,Ankeny,POLK,40836.48
2022-01-30,5144,Sam's Club 6979 / Ankeny,Ankeny,POLK,28949.74
2022-02-06,5144,Sam's Club 6979 / Ankeny,Ankeny,POLK,22418.7
2022-01-09,2502,Hy-Vee Wine and Spirits / Ankeny,Ankeny,POLK,17067.88
2022-01-16,2502,Hy-Vee Wine and Spirits / Ankeny,Ankeny,POLK,26168.72
2022-01-23,2502,Hy-Vee Wine and Spirits / Ankeny,Ankeny,POLK,36717.78
2022-01-30,2502,Hy-Vee Wine and Spirits / Ankeny,Ankeny,POLK,27499.37
2022-02-06,2502,Hy-Vee Wine and Spirits / Ankeny,Ankeny,POLK,37351.31
2022-01-09,2666,Hy-Vee Food Store #2 / State Ankeny,Ankeny,POLK,12211.95
2022-01-16,2666,Hy-Vee Food Store #2 / State Ankeny,Ankeny,POLK,28054.75
2022-01-23,2666,Hy-Vee Food Store #2 / State Ankeny,Ankeny,POLK,20759.14
2022-01-30,2666,Hy-Vee Food Store #2 / State Ankeny,Ankeny,POLK,29681.06
2022-02-06,2666,Hy-Vee Food Store #2 / State Ankeny,Ankeny,POLK,42787.74
2022-01-09,2191,Keokuk Spirits,Keokuk,LEE,16090.5
2022-01-16,2191,Keokuk Spirits,Keokuk,LEE,17923.66
2022-01-23,2191,Keokuk Spirits,Keokuk,LEE,20859.19
2022-01-30,2191,Keokuk Spirits,Keokuk,LEE,19161.03
2022-02-06,2191,Keokuk Spirits,Keokuk,LEE,35988.52
2022-01-09,2555,Hy-Vee Food Store / Keokuk,Keokuk,LEE,18960.98
2022-01-16,2555,Hy-Vee Food Store / Keokuk,Keokuk,LEE,8191.18
2022-01-23,2555,Hy-Vee Food Store / Keokuk,Keokuk,LEE,15362.01
2022-01-30,2555,Hy-Vee Food Store / Keokuk,Keokuk,LEE,10880.19
2022-02-06,2555,Hy-Vee Food Store / Keokuk,Keokuk,LEE,13762.15
2022-01-09,2560,Hy-Vee Food Store / Marion,Marion,LINN,16357.86
2022-01-16,2560,Hy-Vee Food Store / Marion,Marion,LINN,20749.28
2022-01-23,2560,Hy-Vee Food Store / Marion,Marion,LINN,18128.38
2022-01-30,2560,Hy-Vee Food Store / Marion,Marion,LINN,25864.67
2022-02-06,2560,Hy-Vee Food Store / Marion,Marion,LINN,38568.72
2022-01-09,2517,Hy-Vee Food Store #1 / Newton,Newton,JASPER,10401.29
2022-01-16,2517,Hy-Vee Food Store #1 / Newton,Newton,JASPER,14226.48
2022-01-23,2517,Hy-Vee Food Store #1 / Newton,Newton,JASPER,13622.22
2022-01-30,2517,Hy-Vee Food Store #1 / Newton,Newton,JASPER,12688.68
2022-02-06,2517,Hy-Vee Food Store #1 / Newton,Newton,JASPER,16383.78
2022-01-09,2665,Hy-Vee / Waukee,Waukee,DALLAS,28352.54
2022-01-16,2665,Hy-Vee / Waukee,Waukee,DALLAS,18477.82
2022-01-23,2665,Hy-Vee / Waukee,Waukee,DALLAS,32377.03
2022-01-30,2665,Hy-Vee / Waukee,Waukee,DALLAS,37940.23
2022-02-06,2665,Hy-Vee / Waukee,Waukee,DALLAS,29011.73
